Bloco ;Bairro;Região;Data;Data Relativa;Concentração;Desfile;Final;Local da Concentraçao;Percurso;Público Estimado;Ano do primeiro desfile;
Pipoca no Mel;Gamboa;Centro;04/02/2018;Domingo - 1 semana antes do Carnaval;14:00:00;17:00:00;20:00:00;Praça Coronel Assumpção (Praça da Harmonia);Rua Sacadura Cabral, Rua do Livramento, Rua Rivadavia Correa, Rua Pedro Ernesto e retorna para Praça da Harmonia;1.000;2010;
Quem Num Guenta Bebe Água;Laranjeiras ;Zona Sul;04/02/2018;Domingo - 1 semana antes do Carnaval;12:00:00;14:00:00;18:00:00;Rua Gago Coutinho 37;PARADO;4.000;2004;
Quem Vai Vai, Quem Não Vai Não Cagueta!;Ilha do Governador;Zona Norte 3;04/02/2018;Domingo - 1 semana antes do Carnaval;18:00:00;18:00:00;21:00:00;Praça Jerusalém;Praça Jerusalem, Praia da Bica até Quiosque do Mexicano;1.000;2010;
Se não quiser me dar, me empresta;Ipanema ;Zona Sul;04/02/2018;Domingo - 1 semana antes do Carnaval;13:00:00;14:00:00;19:00:00;Praia de Ipanema Posto 8;Praia de Ipanema, do Posto 8 até o Quiosque da Rua Vinicius de Moraes;3.000;2000;
Suvaco do Cristo;Jardim Botânico ;Zona Sul;04/02/2018;Domingo - 1 semana antes do Carnaval;08:00:00;10:00:00;13:00:00;Rua Jardim Botânico, esquina com Rua Faro;Rua Jardim Botânico, da Rua Faro até a Praça Santos Dumont;35.000;1986;
Tá Pirando, Pirado, Pirou!;Urca ;Zona Sul;04/02/2018;Domingo - 1 semana antes do Carnaval;13:00:00;15:00:00;19:00:00;Av. Pasteur, em frente ao Instituto Benjamim Constant, nº 404;Av. Pasteur, do Instituto Benjamim Constant até a Praca General Tibúrcio;3.000;2005;
Tamo Junto in Folia;Padre Miguel;Zona Oeste;04/02/2018;Domingo - 1 semana antes do Carnaval;16:00:00;18:00:00;22:00:00;Rua Marechal Marciano, esquina com Santana de Ipanema (Praça das Juras);Parado;60.000;2005;
Timoneiros da Viola;Oswaldo Cruz;Zona Norte 1;04/02/2018;Domingo - 1 semana antes do Carnaval;13:00:00;14:00:00;19:00:00;Praça Paulo da Portela;Parado;50.000;2012;
Tira a Roupa Neném;Quintino Bocaiúva;Zona Norte 1;04/02/2018;Domingo – 1 semana antes do Carnaval;16:00:00;19:00:00;22:00:00;Rua Cupertino ;Avenida Dom Helder Camara, a partir da Rua da Pedreira a Rua Amália ;4.000;2013;
Toco Crú Pegando Fogo;Recreio dos Bandeirantes;Barra/JPA;04/02/2018;Domingo - 1 semana antes do Carnaval;12:00:00;14:00:00;18:00:00;Posto 10 do Recreio;Posto 10 do Recreio ao Posto 9.;10.000;2018;
Unidos da Ribeira;Ilha do Governador;Zona Norte 3;04/02/2018;Domingo - 1 semana antes do Carnaval;13:00:00;15:00:00;19:00:00;Praça Iaiá Garcia;Praça Iaiá Garcia, Rua Fernandes da Fonseca,  Rua Paramopama e Praça Iaiá Garcia;2.000;1974;
Vai Tomar no Grajaú;Grajaú;Tijuca e Adj;04/02/2018;Domingo -1 semana antes do Carnaval;15:00:00;17:00:00;21:00:00;Av Engenheiro Richard 105;Av Engenheiro Richard, Praça Edmundo Rego, Av Engenheiro Richard;800;2009;
Xodó da Piedade;Piedade;Zona Norte 2;04/02/2018;Domingo - 1 semana antes do Carnaval;16:00:00;17:00:00;22:00:00;Rua Mario Carpenter, Esquina com Angelina ;PARADO;1.500;1972;
Zona Mental;Bangu;Zona Oeste;06/02/2018;Terça - antes do carnaval;14:00:00;15:00:00;17:00:00;Praça de Guilherme da Silveira;Rua Guilherme da Silveira, Rua Sidney, Rua Figueiredo Camargo (Ponto Chic), Rua Santana, Marechal Mariano, e Retorna para a praça Guilherme pela Rua Ribeiro Dantas ;350;2015;
Banda do Tio Marco;Piedade;Zona Norte 2;07/02/2018;Quarta-feira antes do Carnaval;19:00:00;20:00:00;22:00:00;Largo da Rua Porto Valter;RUA PORTO VALTER, RUA PADRE NOBREGA, RUA ANTONIO VARGAS, RUA GONÇALO COELHO, RUA SOUZA CERQUEIRA, Av don Helder Camara, Padre Nobrega, Porto valter;3.000;1990;
Distribui Sem Juízo;Centro;Centro;07/02/2018;Quarta-feira - 1 semana antes do Carnaval;18:00:00;19:00:00;22:00:00;Rua da Quitanda entre a Rua Sete de Setembro e a Rua da Assembléia;Parado;1.000;2017;
Regula Mas Libera ;Centro;Centro;07/02/2018;Quarta-feira - 1 semana antes do Carnaval;18:00:00;18:00:00;22:00:00;Rua Teofilo Otoni;Parado;500;2014;
Banda da Rua do Mercado;Centro;Centro;08/02/2018;Quinta-feira antes do Carnaval;18:00:00;19:00:00;21:00:00;Rua do Mercado;Rua do Mercado, Simbolo Olimpico, Rua do Mercado;8.000;1999;
Batuke Nuclear;Centro;Centro;08/02/2018;Quinta-feira antes do Carnaval;18:00:00;18:00:00;22:00:00;Rua da Candelária, 65, esquina com Teófilo Otoni;Parado;500;2007;
Bloco dus Impussivi;Centro;Centro;08/02/2018;Quinta-feira antes do Carnaval;18:00:00;20:00:00;22:00:00;Rua Lélio Gama, esquina com Avenida Chile;Rua Lélio Gama, Av. chile, Rua Senador Dantas , Rua Lélio Gama;2.000;2003;
Chroma Aqui Na Minha Mão ;Centro;Centro;08/02/2018;Quinta-feira – Semana pré carnaval ;18:00:00;18:00:00;22:00:00;Rua dos Arcos (Entre a Fundição e Lavradio) ;Parado;100;2014;
Loucura Suburbana;Engenho de Dentro;Zona Norte 2;08/02/2018;Quinta-feira antes do Carnaval;16:00:00;17:00:00;22:00:00;Instituto Municipal Nise da Silveira, Rua Ramiro Magalhães;Rua Ramiro Magalhães, Rua Gustavo Riedel, Rua Pernambuco, Praça Rio Grande do Norte, Rua Ana Leonídia, Rua Gustavo Riedel e Rua Ramiro Magalhães;1.000;2001;
Banda do Jiló;Tijuca ;Tijuca e Adj;09/02/2018;Sexta-feira de Carnaval;18:00:00;21:00:00;22:00:00;Rua Pinto de Figueiredo, nº 26;Rua Pinto de Figueiredo, Avenida Maracanã, Rua Barão de Mesquita, Rua General Roca, Rua Conde de Bonfim e Rua Pinto de Figueiredo;1.000;2004;
Banda do Lido;Copacabana ;Zona Sul;09/02/2018;Sexta-feira de Carnaval;16:00:00;17:00:00;22:00:00;Rua Ronald de Carvalho entre a Rua Viveiros de Castro e Av. Nossa Senhora de Copacabana;Av. Nossa Senhora de Copacabana, Av. Prado Junior, Av. Atlântica, Av. Duvivier até a Rua Rolnald Carvalho;3.000;1961;
