Bloco ;Bairro;Região;Data;Data Relativa;Concentração;Desfile;Final;Local da Concentraçao;Percurso;Público Estimado;Ano do primeiro desfile;
Os 300;Padre Miguel;Zona Oeste;12/02/2018;Segunda-feira de Carnaval;16:30:00;17:00:00;22:00:00;Largo da Tapiranga;Largo da Tapiranga, Rua Maria Rosa, Rua Japeju, Rua Tapiranga e Largo da Tapiranga;1.000;2014;
Papo de Cachaça;Méier;Zona Norte 2;12/02/2018;Segunda-feira de Carnaval;16:00:00;19:00:00;22:00:00;Rua Dias da Cruz, 269;Rua Dias da Cruz, do nº 269 ao nº 111, retornando ao local de concentração;600;2010;
Pede Passagem ;Jardim Botânico ;Zona Sul;12/02/2018;Segunda-feira de Carnaval;10:00:00;12:00:00;16:00:00;Rua Jardim Botânico, esquina com Rua Pacheco Leão;Rua Jardim Botânico, da Rua Pacheco Leão até a Praça Santos Dumont;1.000;2005;
Pega Rex Social Clube;Ipanema ;Zona Sul;12/02/2018;Segunda-feira de Carnaval;16:00:00;17:00:00;21:00:00;Praça Nossa Senhora da Paz;PARADO;600;2008;
Picada de Primeira;Lapa;Centro;12/02/2018;Segunda-feira de Carnaval;16:00:00;18:00:00;21:00:00;Rua dos Arcos 24;Parado;3.000;2009;
Polvo da Ilha;Ilha do Governador;Zona Norte 3;12/02/2018;Segunda-feira de Carnaval;09:00:00;11:00:00;15:00:00;Praça Iaiá Garcia;Praça Iaiá Garcia, Rua Maldonado, Estrada do Rio Jequiá, Rua Serrão, Rua Peixoto de Carvalho, Praia do Zumbi, Rua Paramopama e Praça Iaiá Garcia;500;2005;
Quem Num Guenta Bebe Água;Ilha de Paquetá;Centro;12/02/2018;Segunda-feira de Carnaval;12:30:00;15:00:00;18:30:00;Praia dos Tamoios;Rua Praia do Tamoios, Rua Furkin Werneck, Rua Pinheiro Freire, Rua Principe Regente, Rua Doutor Aristão e Praia das Moreninhas.;500;2018;
Raízes da Vila da Penha;Vila da Penha;Zona Norte 1;12/02/2018;Segunda-feira de Carnaval;13:00:00;15:00:00;19:00:00;Rua São João Gualberto;Rua São João Gualberto, Rua General Silveira Sobrinho, Rua Oliveira Belo,  Rua Alice Tibiriça e Rua São João Gualberto;900;2007;
Raízes do Varandão;Vila isabel ;Tijuca e Adj;12/02/2018;Segunda-feira de Carnaval;16:00:00;17:00:00;22:00:00;Blv. 28 de Setembro 400, pista da direita ;Segue pelo Boulevard em frente a quadra da U. de vila isabel, contorna a praça barao de Drumond, entra na rua  Barão de Cotegipe, Rua Mendes Tavares 73. bar varandão;500;2015;
Sargento Pimenta ;Aterro do Flamengo;Zona Sul;12/02/2018;Segunda-feira de Carnaval;08:00:00;10:00:00;14:00:00;Aterro do Flamengo, entre o Mam e a Marina da Glória;Parado;60.000;2011;
Seca Copo;Ilha do Governador;Zona Norte 3;12/02/2018;Segunda-feira de Carnaval;13:00:00;15:00:00;19:00:00;Rua Monjolos 546;Rua Monjolos, Praia da Pitangueiras, Rua Formosa, Est. Rio Jequiá, Rua Monjolos e volta a concentração;900;2010;
Sem Noção;Lapa;Centro;12/02/2018;Segunda-feira de Carnaval;12:00:00;14:00:00;17:00:00;Rua dos Arcos, em frente a Fundição Progresso;Rua dos Arcos, Rua do Lavradio, Rua do Senado, Rua dos Inválidos, Rua da Relação até Av. Gomes Freire;2.000;2010;
Sou Cheio de Amor;Copacabana ;Zona Sul;12/02/2018;Segunda de Carnaval;11:00:00;13:00:00;16:00:00;Av. Atlantica 2964;Parado;1.000;2013;
Tigres do Coqueiro;Pedra de Guaratiba;Zona Oeste;12/02/2018;Segunda-feira de Carnaval;17:00:00;19:00:00;21:00:00;Rua Barros de Alarcão - Praça São Pedro;Rua Barros de Alarcão Nº283 até o Nº427;300;2007;
Turbilhão Carioca;Lagoa ;Zona Sul;12/02/2018;Segunda-feira de Carnaval;10:00:00;12:00:00;16:00:00;Parque dos Patins;Parado;1.000;2009;
Turma do Copo ;Ilha de Paquetá;Centro;12/02/2018;Segunda-feira de Carnaval;17:00:00;19:00:00;22:00:00;Praia José Bonifacio ;Praia José Bonifacio e Rua Furkim Werneck ;400;1992;
Vem Comigo  ;Vila Cosmos;Zona Norte 1;12/02/2018;Terça-feira de Carnaval;14:00:00;17:30:00;19:00:00;Rua Itacambira c/Av. Meriti;Rua Alecrim, Rua Itacambira com Rua Imbiaça.;1.200;2000;
Vermelho e Preto Coirmãos;Padre Miguel;Zona Oeste;12/02/2018;Segunda-feira de Carnaval;17:00:00;19:30:00;22:00:00;Rua Helianto;Rua Helianto, Rua Olimpia Esteves, Rua Vila Nova e retorna para Helianto.;500;2015;
Virilha de Minhoca;Bangu;Zona oeste;12/02/2018;Segunda de Carnaval;18:00:00;19:00:00;22:00:00;Rua Fonseca 1078;Rua fonseca, rua oliveira ribeiro, Av. Cônego de Vasconcelos, Rua Santa Cecilia, Rua Fonseca;6.000;2002;
A Rocha da Gávea;Gávea ;Zona Sul;13/02/2018;Terça-feira de Carnaval;08:00:00;09:00:00;13:00:00;Praça Santos Dumont;Praça Santos Dumont, Rua Marquês de São Vicente, Rua Vice-Governador Rubens Berardo e Terminal da PUC;900;2003;
Acadêmicos do Engenho de Dentro;Engenho de Dentro;Zona Norte 2;13/02/2018;Terça-feira de Carnaval;16:00:00;18:00:00;21:00:00;Rua Venâncio Ribeiro, 585;Rua Venâncio Ribeiro, Rua Maria Paula, Rua Catulo CearenSe e Rua Adolfo Bergamini;1.000;2011;
Alegria do Guarabu;Ilha do Governador;Zona Norte 3;13/02/2018;Terça-feira de Carnaval;13:00:00;14:00:00;18:00:00;Rua Luis Gomes (Pedreira);Rua Luis Gomes, Rua Inhoverá, Rua Dr. leon Roussoulieres, Rua Tramandaí, Rua Estocolmo, Rua Genebra, Rua Catalpa, Rua Flamarion, Rua Berna e Rua Luis Gomes;1.000;2012;
Amigos da Esquina de Madureira - Fla Esquina;Madureira;Zona Norte 1;13/02/2018;Terça-feira de Carnaval;16:00:00;19:00:00;21:00:00;Praça de Magno ;Parado ;500;2017;
Amigos da Onça;Ilha do Governador;Zona Norte 3;13/02/2018;Terça-feira de Carnaval;17:00:00;17:00:00;20:00:00;Praça Manoel Bandeira;Praça Manoel Bandeira, Avenida Paranapuan e Marques de Muritiba, até o nº 685;900;2012;
Amigos da Sueca da Pedro Américo;Catete ;Zona Sul;13/02/2018;Terça-feira de Carnaval;17:00:00;18:00:00;21:30:00;Rua Pedro Américo, nº 371;Rua Pedro Américo, Rua Bento Lisboa, Rua Dois de Dezembro, Rua do Catete e Rua Pedro Américo;950;2010;
Amigos do Zé;Cosmos;Zona Oeste;13/02/2018;Terça de Carnaval;19:00:00;21:00:00;22:00:00;Rua Beira Rio, em frente ao nº 1313;Rua Beira Rio, Rua Independência, Rua Itagiba, Rua Curaré, Rua Cosmos, Rua Guarujá.;500;2013;
Bafo do Peru ;Padre Miguel;Zona Oeste;13/02/2018;Terça - antes do carnaval;17:00:00;18:00:00;22:00:00;Rua Tapiranga (Largo);Rua Tapiranga, Rua Icote, Rua Ceriba, Rua Pedro Melo, Rua Maria Rosa, Largo da Tapiranga ;800;2008;
Bagunça Meu Coreto;Laranjeiras ;Zona Sul;13/02/2018;Terça-feira de Carnaval;09:00:00;11:00:00;15:00:00;Praça São Salvador;Praça São Salvador, Rua São Salvador, Rua Ipiranga, Rua Paissandu, Rua Senador Correa e Praca São Salvador;900;2005;
Baile do Negrão;Madureira;Zona Norte 1;13/02/2018;Terça-feira de Carnaval;15:00:00;17:30:00;21:00:00;Viaduto Negrão de Lima ;Saindo da Rua Carvalho de Souza 241 indo até o palanque Rua dos Peixinhos Rua Edgard Romero 81;5.000;2007;
Bambas do Catete;Catete ;Zona Sul;13/02/2018;Terça-feira de Carnaval;15:00:00;19:00:00;21:00:00;Praça do Poeta;Rua do Catete, Rua Pedro Américo, Rua Bento Lisboa, Rua Dois de Dezembro e Rua do Catete até a Silveira Martins;1.000;2002;
Bambas do Curuzu;São Cristóvão;Centro;13/02/2018;Terça-feira de Carnaval;16:00:00;18:00:00;22:00:00;Rua Curuzu, nº 87;Parado;1.500;2007;
Banana Com Queijo;Realengo;Zona Oeste;13/02/2018;Terça-feira de Carnaval;15:00:00;16:00:00;21:00:00;Rua Tecobé ;Rua Tecobé, Rua ibitú, Rua João Luso, Rua Ocabí, Rua Silva Neto, Rua Iguarim, Rua Acú, Rua Mirim, Rua Tecobé 275 Término ;1.000;2013;
Banda da Amizade;Lapa;Centro;13/02/2018;Terça-feira de Carnaval;15:00:00;17:00:00;21:00:00;Rua Tadeu Kosciusco;Rua Tadeu Kosciusko, Rua do Rezende, Rua Ubaldino de Amaral, Rua Washington Luiz, Rua Conselheiro Josino, Av. Henrique Valadares, Praça da Cruz Vermelha, Rua Carlos Sampaio e Rua Tadeu Kosciusko;1.000;1999;
Banda da Glória;Glória ;Zona Sul;13/02/2018;Terça-feira de Carnaval;16:00:00;16:00:00;22:00:00;Rua da Glória 180;Rua da Glória 180, Rua Américo, Rua do catete, Rua da Glória;1.000;1974;
Banda da Inválidos;Lapa;Centro;13/02/2018;Terça-feira de Carnaval;16:30:00;18:30:00;22:00:00;Rua dos Inválidos, entre Av. Mem de Sá e Henrique Valadares;"Rua dos Inválidos, Rua do Senado, Rua Ubaldino do Amaral, Av.Henrique Valadares, Rua dos Inválidos;";1.000;1976;
Banda da Nega;Recreio dos Bandeirantes;Barra/JPA;13/02/2018;Terça-feira de Carnaval;14:00:00;14:00:00;20:00:00;Av. Lucio Costa 16,200;Parado;1.000;2014;
Banda da Penha ;Penha;Zona Norte 2;13/02/2018;Terça-feira de Carnaval;16:00:00;20:00:00;22:00:00;Largo da Rua Couto ;Parado;1.000;2014;
Banda da Saens Pena;Tijuca ;Tijuca e Adj;13/02/2018;Terça-feira de Carnaval;16:00:00;19:00:00;22:00:00;Rua Desembargador Izidro, nº 4;Rua Desembargador Izidro, Rua Abelardo Barbosa, Rua Conde de Bonfim, Rua Pareto, Rua Almirante Cochrane, Rua Santo Afonso e Rua General Roca;1.000;2005;
Banda das Quengas;Lapa;Centro;13/02/2018;Terça-feira de Carnaval;16:00:00;18:00:00;22:00:00;No meio da Rua Washington Luiz ;Parado;15.000;1990;
Banda de Ipanema;Ipanema ;Zona Sul;13/02/2018;Terça-feira de Carnaval;15:00:00;17:30:00;21:00:00;Rua Jangadeiros, esquina com Gomes Carneiro;Rua Gomes Carneiro, Avenida Vieira Souto, Rua Joana Angélica e Rua Visconde de Pirajá, até a Praça General Osório;90.000;1965;
Banda do Andaraí;Andaraí ;Tijuca e Adj;13/02/2018;Terça-feira de Carnaval;16:00:00;18:00:00;22:00:00;Rua Maxwell 542;Segue na Rua Maxwell até o Largo do Verdun.;500;2017;
Banda do Largo da 2ª Feira;Tijuca ;Tijuca e Adj;13/02/2018;Terça-feira de Carnaval;15:00:00;18:00:00;21:00:00;Rua Conde de Bonfim, 25;Rua Conde de Bonfim, Rua Haddock Lobo, Rua Campos Salles, Rua Doutor Satamini, Rua São Francisco Xavier e Rua Conde de Bonfim até o nº 25;6.000;1990;
Banda do Peru Pelado;Copacabana ;Zona Sul;13/02/2018;Terça-feira de Carnaval;15:00:00;17:00:00;21:00:00;Avenida Atlântica, esquina com República do Peru;Rua República do Peru, Rua Barata Ribeiro, Rua Siqueira Campos e Avenida Atlântica até a esquina com República do Peru;1.500;2009;
Banda Haddock;Tijuca ;Tijuca e Adj;13/02/2018;Terça-feira de Carnaval;16:00:00;18:00:00;22:00:00;Rua Afonso Pena, nº 10;PARADO;2.200;1984;
Banguçando o Coreto;Bangu;Zona Oeste;13/02/2018;Terça-feira de Carnaval;17:00:00;20:00:00;22:00:00;Rua Abaeté, esquina com Rua Francisco Real;Rua Abaeté, Rua Santa Cecília, seguindo até Rua Fonseca.;1.000;2010;
Batalha dos Blocos;Recreio dos Bandeirantes;Barra/JPA;13/02/2018;Terça-feira de Carnaval;16:00:00;16:00:00;20:00:00;Praia do Recreio Posto 10;Parado;4.000;2017;
Batuke de Batom;Ilha do Governador;Zona Norte 3;13/02/2018;Terça-feira de Carnaval;10:00:00;12:00:00;16:00:00;Praça Iaiá Garcia;Rua Fernandes da Fonseca, Rua Paramopama, retorno a origem.;2.000;2013;
Bicho Solto com Desculpa pra Beber;Humaitá ;Zona Sul;13/02/2018;Terça-feira de Carnaval;17:00:00;19:00:00;21:00:00;Estacionamento da Cobal do Humaitá;Voluntários da Pátria, Rua Conde de Irajá, Largo dos Leões e Rua Marques;3.000;2003;
Birita mas num cai ;Madureira;Zona Norte 1;13/02/2018;Terça de Carnaval;15:00:00;17:00:00;21:00:00;Bar do Julio Fragoso;Início: Julio Fragoso, Clara Nunes, Estrada do Portela – Retorno: Praça Paulo Portela, Estrada do Portela, Clara Nunes, Julio Fragoso. ;600;2017;
Block`n Roll;Ilha do Governador;Zona Norte 3;13/02/2018;Terça-feira de Carnaval;17:00:00;18:00:00;22:00:00;Praça Iaiá Garcia;Praça Iaiá Garcia - Parado;800;2009;
Bloco Boemios do Catruz;Pedra de Guaratiba;Zona Oeste;13/02/2018;terça-feia de carnaval;21:00:00;21:00:00;22:00:00;Praça Dr. Raul Capello Barrozo;Parado;1500;2010;
Bloco Confetes e Serpentinas ;Pedra de Guaratiba;zona oeste;13/02/2018;Terça-feira de Carnaval;19:00:00;20:00:00;22:00:00;Praça Dr. Raul Capello Barrozo;Parado;1500;2016;
Bloco da Coroinha;Pedra de Guaratiba;Zona Oeste;13/02/2018;Terça de Carnaval;17:00:00;18:00:00;20:00:00;Rua Barros de Alarcão - Praça São Pedro;Rua Barros de Alarcão n°216 ao n°579;200;2007;
Bloco da Gold / Giro do Arar;Centro;Centro;13/02/2018;Terça-feira de Carnaval;09:00:00;10:00:00;15:00:00;Av. Pres. Antonio Carlos em frente ao Terminal Menezes Cortes;Segue pela Av. Pres. Antonio Carlos até o Ministerio da Fazenda.;5.000;2014;
"Bloco do Boi ""Só Falta Você!""";Pedra de Guaratiba;Zona Oeste;13/02/2018;Terça-feira de Carnaval;18:00:00;18:50:00;22:00:00;Rua Barros de Alarcão - Praça São Pedro;Rua Barros de Alarcão até o final da rua;200;2010;
Bloco do galho;Guaratiba;Zona Oeste;13/02/2018;Terça-feira de Carnaval;16:30:00;17:30:00;22:00:00;Rua Abílio Barreto (início);Rua Abílio Barreto do início ao final da rua.;600;1979;
Bloco do Limão;Jardim América;Zona Norte 2;13/02/2018;Terça-feira de Carnaval;16:00:00;18:00:00;22:00:00;Praça Rivadavia C Maia;Praça Andrade Neves, Rua Monsenhor Castelo Branco, Rua Ministro Artur Costa, Rua George Bizet, Rua Franz Liszt, Rua Debussy, Rua Ministro Artur Costa, Rua Viana do Casteloo e Praça Andrade Neves;800;2010;
Bloco do UHH!;Copacabana ;Zona Sul;13/02/2018;Terça-feira de Carnaval;15:00:00;15:00:00;20:00:00;Praça Serzedelo Correa;Parado;250;2008;
Bloco dos Cachaças;Barra da Tijuca;Barra/JPA;13/02/2018;Terça-feira de Carnaval;14:00:00;15:00:00;20:00:00;Av. Lucio Costa 3604;Avenida Lucio Costa, em frente ao nº 3604 - Calçadão da praia;1.000;2008;
Bloco dos Primos;Ilha de Paquetá;Centro;13/02/2018;Terça-feira de Carnaval;17:00:00;17:30:00;22:00:00;Praça Ex Combatentes;Praia da Moreninha, Rua José Bonifácio, Rua Furkin Werneck, Praça Pintor Pedro Bueno.;500;2014;
Bloco Só Te Pegando ;Barra da Tijuca;Barra/JPA;13/02/2018;terça de carnaval;15:00:00;17:00:00;21:00:00;av. Lucio Costa posto 5 ;Parado;500;2010;
Boi de Anchieta ;Anchieta;Zona Oeste;13/02/2018;Terça-feira de Carnaval;16:00:00;18:00:00;22:00:00;Praça Nossa Senho de Nazaré;Praça Nazaré, Rua Motorista Luiz de Abreu, Avenida Nazaré, Rua Motoriasta Luiz de Abreu, Praça Nazaré ;2.000;1945;
Bonecas Deslumbradas de Olaria;Olaria;Zona Norte 3;13/02/2018;Terça-feira de Carnaval;16:00:00;18:00:00;20:00:00;Rua Conselheiro Paulino, nº 567;Rua Conselheiro Paulino, Rua João Rêgo, Paranapanema, Rua Delfim Carlos, Praca Belmonte, Rua João Rêgo e Rua Conselheiro Paulino;4.000;1977;
Cabeça de Chave;Copacabana ;Zona Sul;13/02/2018;Terça-feira de Carnaval;16:00:00;16:00:00;22:00:00;Rua Duvivier, nº 40;Parado;2.500;1982;
Cachorro Cansado;Flamengo ;Zona Sul;13/02/2018;Terça-feira de Carnaval;16:00:00;18:00:00;22:00:00;Praça José de Alencar;Praça José de Alencar, Rua Marquês de Abrantes, Rua Marquês de Paraná, Rua Senador Vergueiro, Rua Barão do Flamengo e Praça José de Alencar;10.000;1987;
Caldeirão do Coqueiro;Santíssimo;Zona Oeste;13/02/2018;Terça-feira de Carnaval;16:00:00;20:00:00;22:00:00;Praça do Coqueiro;Parado;500;2010;
Canela Fina ;Quintino Bocaiúva;Zona Norte 1 ;13/02/2018;Terça-feira de Carnaval;16:00:00;18:00:00;22:00:00;Rua Pedro Reis ;Rua Pedro Reis, Argentina Reis, Travessa Guerra, João Barbalho, 21 de Abril, Nervalde Gouveia, Praça de Quintino ;200;2011;
Cantinho do Urubu;Madureira;Zona Norte 2;13/02/2018;Terça-feira de Carnaval;20:00:00;20:00:00;22:00:00;Estrada do Portela, em frente ao nº 351;Parado;1.000;2013;
Cardosão de Laranjeiras;Laranjeiras ;Zona Sul;13/02/2018;Terça-feira de Carnaval;11:00:00;13:00:00;19:00:00;Rua Cardoso Júnior, esquina com Rua das Laranjeiras;Rua Cardoso Júnior, da Rua das Laranjeiras até a Quadra da Cardoso Júnior;700;1970;
Carmelitas ;Santa Teresa;Centro;13/02/2018;Terça-feira de Carnaval;08:00:00;10:00:00;14:00:00;Largo do Curvelo ;Saindo do largo do Curvelo, seguindo até altura do Nº200 da Rua Joaquim Murtinho ;800;1990;
Cata Latas do Grajaú;Grajaú;Tijuca e Adj;13/02/2018;Terça-feira de Carnaval;18:00:00;21:00:00;22:00:00;Praça Nobel;Rua Saviana, Rua Rosa e Silva, Rua Campinas, Rua Uberaba, Rua Botucatu, Rua Barão de Mesquita e Largo do Verdun;2.500;2011;
Cheiro na Testa;Santa Teresa;Centro;13/02/2018;Terça-feira de Carnaval;11:00:00;13:00:00;17:00:00;Largo dos Guimarães;Largo dos Guimarães, Rua Paschoal Carlos Magno, Rua Monte Alegre até a esquina com a Rua Áurea;1.000;2008;
Chifrorosso;Rocinha;Zona Sul;13/02/2018;Terça-feira de Carnaval;19:00:00;20:00:00;22:00:00;Rua 2;Rua 2 até a Estrada da Gavea 436 e retornando até origem;500;1985;
Clube do Samba;Copacabana ;Zona Sul;13/02/2018;Terça-feira de Carnaval;15:00:00;18:00:00;19:30:00;Avenida Atlântica, em frente a Rua Santa Clara;Avenida Atlântica, da Rua Santa Clara indo em direção ao posto 6 - Constante Ramos - Barão de Ipanema - Bolivar - Xavier da Silveira - Miguel Lemos - Djalma Urich - Sá Ferreira ;1.000;1980;
Cornos e Simpatizantes;Manguinhos;Zona Norte 2;13/02/2018;Terça-feira de Carnaval;17:00:00;18:00:00;22:00:00;Av. Dos Democráticos 112;Caminho dos Democráticos próximo a Suípa ate Av. dos Democráticos altura Rua José Rubino.;600;2007;
Deita Mas Não Dorme ;Taquara;Barra/JPA;13/02/2018;Segunda-feira de Carnaval;14:00:00;16:00:00;20:00:00;Rua Caituba ;Parado;500;2009;
Dragões da Riachuelo;Bairro de Fátima;Centro;13/02/2018;Terça-feira de Carnaval;14:30:00;15:00:00;18:00:00;Rua do Senado;Parado;200;2011;
É Tudo ou Nada?!;Humaitá ;Zona Sul;13/02/2018;Terça-feira de Carnaval;12:00:00;12:00:00;15:00:00;Estacionamento da Cobal do Humaitá;Voluntários da Pátria, Rua Conde de Irajá, Largo dos Leões e Rua Marques;3.000;2008;
Embalo de Santa Tereza;Santa Teresa;Centro;13/02/2018;Terça-feira de Carnaval;15:00:00;16:30:00;19:30:00;Largo do França;Segue na Rua Alm. Alexandrino até o Largo do Vista Alegre seguindo até o Largo dos Guimarães onde dispersa.;800;2002;
Empurra que Pega do Leblon;Leblon ;Zona Sul;13/02/2018;Terça-feira de Carnaval;13:00:00;15:00:00;19:00:00;Av. Delfim Moreira ;Av. Delfim Moreira do Posto 12 até o posto 11;15.000;1990;
Enxota que Eu Vou;Centro;Centro;13/02/2018;Terça-feira de Carnaval;16:00:00;18:00:00;22:00:00;Praça Tiradentes;Parado;500;2008;
Fecha Bar;Ilha de Paquetá;Centro;13/02/2018;Terça-feira de Carnaval;18:00:00;19:00:00;22:00:00;Praia José Bonifácio;Praia José Bonifácio, Rua Furquim Werneck, Rua Príncipe Regente, volta para José Bonifácio;500;1984;
G.R.B.C. Meu Peru é Seu ;Piedade;Zona Norte 1;13/02/2018;Terça-feira de Carnaval;13:00:00;16:00:00;19:00:00;R. Padre Manuel da Nobrega 79.;R. Padre Manoel da Nobrega, Av. D. Helder Camara , retorno na R. Bernardino de Campos, Av. D. H. Camara, R. Souza Cerqueira, R. Gonçalo Coelho, R. Antonio Vargas e R. Padre Manoel da Nobrega.;300;2018;
Gambá Cheiroso;Jacarepaguá;Barra/JPA;13/02/2018;Terça-feira de Carnaval;16:00:00;17:00:00;22:00:00;Rua Bruno Giorgi s/n - Anfiteatro;Parado;1.000;2017;
Largo do Machado, Mas Não Largo do Copo;Catete ;Zona Sul;13/02/2018;Terça-feira de Carnaval;14:00:00;16:00:00;20:00:00;Largo do Machado;Largo do Machado, Rua do Catete, Arthur Bernardes, Bento Lisboa, Ministro Tavares de Lira, Conde de Baependi, Rua do Catete e Largo do Machado;2.000;2007;
Meu Bem, Volto Já;Leme ;Zona Sul;13/02/2018;Terça-feira de Carnaval;15:00:00;17:00:00;20:00:00;Avenida Princesa Isabel esquina com Ministro Viveiros de Castro;Avenida Princesa Isabel, Avenida Atlântica, seguindo até a Pedra do Leme ;1.000;1996;
Mocidade Dependente de Deus;Aterro do Flamengo;Zona Sul;13/02/2018;Terça-feira de Carnaval;14:00:00;15:00:00;18:00:00;Praia do Flamengo  72A;PRAIA DO FLAMENGO, RUA PAISSANDÚ, RUA SENADOR VERGUEIRO, RUA DO CATETE, RUA SILVEIRA MARTINS, RETORNA A ORIGEM;800;1992;
Muceludos de Padre Miguel;Padre Miguel;Zona Oeste;13/02/2018;Terça-feira de Carnaval;14:00:00;17:00:00;20:00:00;Rua Pedro Melo 579;Segue pela Rua Japeju, Rua Olimpia Esteves, Rua Murundú, Rua Ceriba, Rua Maria Rosa, Largo da Tapiranga;300;2016;
Mulheres da Vila;Vila isabel ;Tijuca e Adj;13/02/2018;Terça-feira de Carnaval;15:00:00;17:00:00;19:30:00;Boulevard 28 de Setembro, esquina com Rua Gonzaga Bastos;Boulevard 28 de Setembro, esquina c/ Rua Gonzaga Bastos, seguindo pela 28 de setembro até a escola Vila Isabel;500;2011;
Ninho dos Cobras;Madureira;Zona Norte 1;13/02/2018;Terça-feira de Carnaval;13:00:00;18:00:00;19:00:00;Rua Carvalho de Souza, embaixo do Viaduto de Madureira;Rua Carvalho de Souza, Av. Ministro Edgard Romero e Estrada do Portela até a Rua Dagmar da Fonseca;800;2013;
Orquestra Voadora;Aterro do Flamengo;Zona Sul;13/02/2018;Terça-feira de Carnaval;13:00:00;15:00:00;22:00:00;Aterro do Flamengo, altura da Praça Luis de Camões - Coreto Modernista;Segue pelo Aterro do Flamengo, com dispersão na Av. Infante Dom Henrique 85 aterro do Flamengo;80.000;2008;
Quero Exibir Meu Longa;Tijuca ;Tijuca e Adj;13/02/2018;Terça-feira de Carnaval;10:00:00;11:30:00;16:00:00;Praça Gabriel Soares;Praça Gabriel Soares, Rua José Higino, Rua Conde de Bonfim, Rua Henry Ford, Rua Desembargador Isidro, Praça Gabriel Soares;480;2013;
Raízes da Vila da Penha;Vila da Penha;Zona Norte 1;13/02/2018;Terça-feira de Carnaval;13:00:00;15:00:00;19:00:00;Rua São João Gualberto;Rua São João Gualberto, Rua General Silveira Sobrinho, Rua Oliveira Belo,  Rua Alice Tibiriça e Rua São João Gualberto;900;2007;
Rio Maracatu;Ipanema ;Zona Sul;13/02/2018;Terça-feira de Carnaval;08:00:00;10:00:00;14:00:00;Avenida Vieira Souto, em frente ao Posto 8;Avenida Vieira Souto, do Posto 8 até o posto 9 ;5.000;1998;
Se Me Der, Eu Como!;Tijuca ;Tijuca e Adj;13/02/2018;Terça-feira de Carnaval;14:00:00;17:00:00;20:00:00;Praça da Medalha Milagrosa;Rua do Matoso, Rua Haddock Lobo, Rua Barão de Ubá, Rua Joaquim Palhares, Barão de Iguatemi.;3.000;2004;
Sobrinhos do Tio Bio;Leblon ;Zona Sul;13/02/2018;Terça-feira de Carnaval;09:00:00;11:00:00;15:00:00;Posto 12 ;Sai do posto 12 até o posto 11;3.000;2006;
Tribo Cacuia;Ilha do Governador;Zona Norte 3;13/02/2018;Terça-feira de Carnaval;16:00:00;18:00:00;22:00:00;Estrada do Cacuia c/ Estrada do Galeão;Estrada do Galeão até Rua Mileto Maciel retorna pelo mesmo percurso até Rua Sargento João Lopes c/ Estrada do Cacuia;10.000;2001;
Tudubloco;Madureira;Zona Norte 1;13/02/2018;Terça de Carnaval;09:00:00;11:00:00;14:00:00;Parque Madureira ;Parado;10.000;2018;
Último Gole;Lagoa ;Zona Sul;13/02/2018;Terça-feira de Carnaval;14:00:00;16:00:00;20:00:00;Parque dos Patins;PARADO;3.000;1997;
Unidos do Complexo do Alemão;Bonsucesso;Zona Norte 3;13/02/2018;Terça-feira de Carnaval;17:00:00;18:00:00;20:00:00;Rua Nova Brasília ;Rua Nova Brasília 02 até a Praça do Terço N°5;1.000;2012;
Vagalume O Verde;Jardim Botânico ;Zona Sul;13/02/2018;Terça-feira de Carnaval;08:00:00;10:00:00;14:00:00;Rua Jardim Botânico, esquina com Rua Pacheco Leão;Rua Jardim Botânico, da Rua Pacheco Leão até a Praça Santos Dumont;10.000;2005;
Vem Comigo  ;Vila Cosmos;Zona Norte 1;13/02/2018;Quarta-feira de Carnaval;14:00:00;17:30:00;19:00:00;Rua Itacambira c/Av. Meriti;Rua Alecrim, Rua Itacambira com Rua Imbiaça.;1.200;2000;
Virilha de Minhoca;Bangu;Zona oeste;13/02/2018;Terça de Carnaval;18:00:00;19:00:00;22:00:00;Rua Fonseca 1078;Rua fonseca, rua oliveira ribeiro, Av. Cônego de Vasconcelos, Rua Santa Cecilia, Rua Fonseca;6.000;2002;
Ainda Aguento;Ilha do Governador;Zona Norte 3;14/02/2018;Quarta-feira de Cinzas;11:00:00;11:00:00;15:00:00;Praia da Engenhoca;Rua Praia da Engenhoca, Rua Novo Airão, Rua Fernandes da Fonseca, Pça Iaiá Garcia e retorna para origem pelo trajeto inverso.;800;2008;
Amigos da Onça;Flamengo ;Zona Sul;14/02/2018;Quarta - Feira de Cinzas;06:00:00;07:00:00;12:00:00;Praia do Flamengo ;Pista interna da Praia do Flamengo;20.000;2012;
Amigos da Velha Guarda;Recreio dos Bandeirantes;Barra/JPA;14/02/2018;Quarta-feira de Cinzas;14:00:00;14:00:00;20:00:00;Av. Lucio Costa 16,340 (Quiosque Terapia);Parado;1.000;2017;
Banda do Village;Ilha do Governador;Zona Norte 3;14/02/2018;Quarta-feira de Cinzas;16:00:00;16:00:00;22:00:00;Rua Luiz Sá, altura do número 205;Parado;1.500;2009;
Batalha dos Blocos;Recreio dos Bandeirantes;Barra/JPA;14/02/2018;quarta-feira de cinzas;10:00:00;10:00:00;14:00:00;Praia do Recreio Posto 10;Parado;4.000;2017;
Batuque das Meninas;Laranjeiras ;Zona Sul;14/02/2018;Quarta-feira de Cinzas;15:00:00;16:00:00;21:00:00;Praça Largo do Machado;Largo do Machado - Parado;200;2010;
